id,Class,petal length,petal width,sepal length,sepal width
1,Iris-setosa,1.4,0.2,5.1,3.5
2,Iris-setosa,1.4,0.2,4.9,3
3,Iris-setosa,1.3,0.2,4.7,3.2
4,Iris-setosa,1.5,0.2,4.6,3.1
5,Iris-setosa,1.4,0.2,5,3.6
6,Iris-setosa,1.7,0.4,5.4,3.9
7,Iris-setosa,1.4,0.3,4.6,3.4
8,Iris-setosa,1.5,0.2,5,3.4
9,Iris-setosa,1.4,0.2,4.4,2.9
10,Iris-setosa,1.5,0.1,4.9,3.1
11,Iris-setosa,1.5,0.2,5.4,3.7
12,Iris-setosa,1.6,0.2,4.8,3.4
13,Iris-setosa,1.4,0.1,4.8,3
14,Iris-setosa,1.1,0.1,4.3,3
15,Iris-setosa,1.2,0.2,5.8,4
16,Iris-setosa,1.5,0.4,5.7,4.4
17,Iris-setosa,1.3,0.4,5.4,3.9
18,Iris-setosa,1.4,0.3,5.1,3.5
19,Iris-setosa,1.7,0.3,5.7,3.8
20,Iris-setosa,1.5,0.3,5.1,3.8
21,Iris-setosa,1.7,0.2,5.4,3.4
22,Iris-setosa,1.5,0.4,5.1,3.7
23,Iris-setosa,1,0.2,4.6,3.6
24,Iris-setosa,1.7,0.5,5.1,3.3
25,Iris-setosa,1.9,0.2,4.8,3.4
26,Iris-setosa,1.6,0.2,4.9,3
27,Iris-setosa,1.6,0.4,4.7,3.2
28,Iris-setosa,1.5,0.2,4.6,3.1
29,Iris-setosa,1.4,0.2,5.8,3.6
30,Iris-setosa,1.6,0.2,5.12,3.9
31,Iris-setosa,1.6,0.2,4.7,3.4
32,Iris-setosa,1.5,0.4,5.1,3.4
33,Iris-setosa,1.5,0.1,4.14,2.1
34,Iris-setosa,1.4,0.2,4.19,3.1
35,Iris-setosa,1.5,0.1,5.5,3.7
36,Iris-setosa,1.2,0.2,4.8,3.4
37,Iris-setosa,1.3,0.2,4.8,3
38,Iris-setosa,1.5,0.1,4.3,3
39,Iris-setosa,1.3,0.2,5.8,4.8
40,Iris-setosa,1.5,0.2,5.7,4.12
41,Iris-setosa,1.3,0.3,5.4,3.9
42,Iris-setosa,1.3,0.3,5.1,3.5
43,Iris-setosa,1.3,0.2,5.7,3.8
44,Iris-setosa,1.6,0.6,5.1,3.8
45,Iris-setosa,1.9,0.4,5.4,3.4
46,Iris-setosa,1.4,0.3,5.1,3.7
47,Iris-setosa,1.6,0.2,4.7,3.6
48,Iris-setosa,1.4,0.2,5.2,3.3
49,Iris-setosa,1.5,0.2,4.9,3.4
50,Iris-setosa,1.4,0.2,4.9,3
51,Iris-versicolor,4.7,1.4,4.7,3.2
52,Iris-versicolor,4.5,1.5,4.6,3.1
53,Iris-versicolor,4.9,1.5,5.16,3.6
54,Iris-versicolor,4,1.3,5.2,3.9
55,Iris-versicolor,4.6,1.5,4.8,3.4
56,Iris-versicolor,4.5,1.3,5.2,3.4
57,Iris-versicolor,4.7,1.6,4.24,2.11
58,Iris-versicolor,3.3,1,4.29,3.1
59,Iris-versicolor,4.6,1.3,5.6,3.7
60,Iris-versicolor,3.9,1.4,4.8,3.4
61,Iris-versicolor,3.5,1,4.8,3
62,Iris-versicolor,4.2,1.5,4.3,3
